ep,fg,t,dcop,djaw,dgrip,fires
32,f0,8.066667175292956,-11.12933461538461,-0.3649635314941406,-2.2000000000000015,False
33,f1,4.772600576,-5.366070588235291,-14.387586308345334,0.9000000000000004,False
33,f0,4.972600576000001,-9.978274810606058,-4.711669974589,-2.600000000000002,False
34,f0,4.811759616000002,-13.103458333333329,-3.0186421426838237,-3.200000000000002,False
35,f1,4.600000190734862,-13.714453361344535,-21.678819224774635,1.5999999999999999,False
36,f0,5.166666793823241,-12.814119387755103,-12.846730545295479,-0.40000000000000013,False
37,f0,5.176156159999999,-13.730839772727268,-31.609538598097338,1.5999999999999999,False
37,f1,5.276156159999998,2.978053749999999,-22.317579396966018,4.600000000000002,False
37,f0,8.276156159999989,2.107295833333334,0.0,0.8,False
38,f0,4.434961919999998,-12.280072222222218,-0.7957853156185699,-3.6000000000000023,False
40,f0,3.3346816,-11.310723344155843,-2.2302900392006144,-1.4,False
41,f0,3.7050536960000007,-3.66408796992481,-8.991290429136331,0.3999999999999999,False
41,f1,3.8050536960000008,-3.648585714285713,-6.330349751618202,-1.2000000000000006,False
42,f0,4.400000047683717,-9.80971923076923,-1.6788324578859743,0.3999999999999999,False
43,f1,5.338682111999995,2.656212710860014,-0.5109500885009766,-9.699999999999996,False
45,f1,6.668667904000003,7.062765838896304,-16.33283856854445,-21.15,False
48,f1,8.699999809265128,4.1652441791044765,-1.6058387756347479,-27.700000000000003,False
48,f0,10.099999809265123,3.281398744164332,-0.21897762889218342,0.0,False
48,f1,11.299999809265119,-3.6220539915966405,2.5547447204589844,-8.399999999999999,True
49,f0,7.499999809265136,8.513881209150329,-6.715338240730706,3.4,False
49,f1,7.499999809265136,8.191658095238097,-6.715338240730706,10.1,False
53,f1,9.66666707992552,3.7497313322983157,4.598539352416992,-9.5,True
56,f1,5.736252927999999,4.85403285714286,12.609591452229292,-3.200000000000002,True
56,f1,9.036252927999987,-11.46863580290677,-26.277374267578125,-1.2,False
58,f0,3.8003051520000004,-6.342084972677596,-19.244674671737556,18.099999999999998,False
