ep,fg,net_mm,rho,grip_d,dur_s,n_slips,abs_mm
29,f0,-0.10187736263736269,0.12923813163673484,-0.10000000000000009,3.4654875,0,0.10187736263736269
55,f0,-0.09748047104977686,-0.7811689716845248,7.049999999999999,2.2123488,0,0.09748047104977686
57,f1,0.09666154822823314,0.8271216935749801,-25.1,4.0609587,0,0.09666154822823314
4,f0,0.07192604718343798,0.7881092755625003,-0.5,3.2681335000000002,0,0.07192604718343798
2,f0,0.06907864779874195,0.07977581308274326,-0.5999999999999988,2.1669039000000003,1,0.06907864779874195
18,f0,-0.05397519964507458,-0.35435174043498724,-0.1999999999999993,2.8389879999999996,0,0.05397519964507458
56,f1,-0.03816966647172304,-0.42926754984695875,9.8,1.593678800000001,2,0.03816966647172304
19,f1,-0.03301546201814087,-0.08990973230474036,-0.14999999999999947,1.8267742999999994,0,0.03301546201814087
14,f1,0.02834086509376954,0.561843592673728,-0.10000000000000053,2.5201580999999997,1,0.02834086509376954
1,f0,0.01897584348318193,0.40830136182784055,3.3000000000000007,5.7867382,1,0.01897584348318193
47,f1,0.01754738704819281,0.5630366569244515,-0.3999999999999986,4.9718743,0,0.01754738704819281
4,f1,0.017257479355627048,0.2477964412959212,-0.5500000000000025,3.2681335000000002,2,0.017257479355627048
54,f0,0.016881025641025615,-0.09282899365229443,-0.20000000000000018,3.6096240999999996,0,0.016881025641025615
0,f0,0.016815877016129188,0.314475296636673,-0.20000000000000018,3.6860502000000013,0,0.016815877016129188
59,f0,-0.014941376034082299,0.06905652860473277,0.09999999999999964,3.2573545,0,0.014941376034082299
8,f1,0.0145179459783904,-0.05078793361535561,-0.14999999999999947,2.6964964,0,0.0145179459783904
5,f0,0.009253441558441544,0.2623394380414793,-0.2999999999999998,3.7195694,0,0.009253441558441544
2,f1,0.008474219939117233,0.23589665094373635,0.09999999999999964,2.1669039000000003,0,0.008474219939117233
57,f0,0.008422288227825092,0.5014192197748478,0.049999999999998934,3.7090571999999993,0,0.008422288227825092
52,f0,0.004608054571691,0.29235649425468024,-0.4999999999999982,4.808670800000001,0,0.004608054571691
12,f0,0.004148852901484146,0.34816789925712205,-0.09999999999999964,2.9931815999999998,0,0.004148852901484146
58,f1,2.220446049250313e-16,0.8094918249445232,1.8,1.8787601,0,2.220446049250313e-16
24,f1,0.0,0.18075265545851604,0.0,4.6755427,1,0.0
25,f1,0.0,-0.07514008807193533,0.0,2.441999299999999,5,0.0
44,f1,0.0,-0.43814837807473045,0.0,3.5175975,1,0.0
38,f1,0.0,0.16201159502876727,0.0,1.5182542000000003,0,0.0
38,f0,0.0,-0.5832423205296459,0.0,1.5182542000000003,1,0.0
6,f1,0.0,-0.33285034004192765,-0.20000000000000018,2.0237511999999995,0,0.0
56,f0,0.0,0.17977876685312835,0.0,1.593678800000001,0,0.0
7,f0,0.0,0.13180641340231194,0.0,2.6303115999999997,0,0.0
8,f0,0.0,0.05383996163851521,0.0,2.6964964,0,0.0
9,f0,0.0,-0.26076662205434487,0.0,2.5312022999999995,0,0.0
14,f0,0.0,0.1852081996686655,0.0,2.5201580999999997,0,0.0
10,f0,0.0,-0.20086534508906756,0.0,3.047784700000001,0,0.0
10,f1,0.0,-0.09680233511781472,0.0,3.047784700000001,0,0.0
39,f0,0.0,-0.45593726309525073,0.0,0.3602616000000003,0,0.0
11,f0,0.0,-0.09496310769487108,0.0,2.5380778,0,0.0
11,f1,0.0,0.08253584670487145,0.0,2.5380778,0,0.0
12,f1,0.0,0.08492765052906785,0.0,2.9931815999999998,0,0.0
13,f0,0.0,-0.3121252416474526,0.0,2.2109637000000006,1,0.0
39,f1,0.0,-0.10211608821181772,0.0,0.3602616000000003,1,0.0
