cur,raw,raw_frames,cur_frames,start_cut,end_cut,start_s,end_s,kept_end_frame_raw,arm_onset,arm_end,speed_onset,speed_end,jaw_onset,jaw_end,load_onset,load_end,cur_t0,cur_frame0,vid_wrist_cur_from,vid_wrist_raw_from,vid_wrist_shift_vs_cut,vid_wrist_cur_len,vid_top_cur_from,vid_top_raw_from,vid_top_shift_vs_cut,vid_top_cur_len
50,106,487,283,80,124,2.667,4.133,362,97,344,96,345,164,244,150,235,0.0,0,282.5,412.433,-132.6,9.433,282.5,412.433,-132.6,9.433
51,107,383,284,73,26,2.433,0.867,356,89,341,89,341,155,295,159,249,0.0,0,291.933,428.667,-139.167,9.467,291.933,428.667,-139.167,9.467
52,108,393,297,69,27,2.3,0.9,365,62,349,62,349,163,240,166,234,0.0,0,301.4,441.433,-142.333,9.9,301.4,441.433,-142.333,9.9
53,109,294,235,35,24,1.167,0.8,269,17,259,17,260,67,171,92,158,0.0,0,311.3,454.533,-144.4,7.833,311.3,454.533,-144.4,7.833
54,110,414,307,66,41,2.2,1.367,372,82,352,81,331,152,248,157,239,0.0,0,319.133,465.867,-148.933,10.233,319.133,465.867,-148.933,10.233
55,111,381,280,58,43,1.933,1.433,337,76,319,77,320,144,237,149,225,0.0,0,329.367,479.667,-152.233,9.333,329.367,479.667,-152.233,9.333
56,112,384,283,63,38,2.1,1.267,345,82,330,81,328,134,234,144,225,0.0,0,338.7,492.367,-155.767,9.433,338.7,492.367,-155.767,9.433
57,113,471,263,55,153,1.833,5.1,317,67,318,67,316,135,253,141,204,0.0,0,348.133,0.0,346.3,8.767,348.133,0.0,346.3,8.767
58,114,599,257,43,299,1.433,9.967,299,60,282,59,284,126,208,133,198,0.0,0,356.9,15.7,339.767,8.567,356.9,15.7,339.767,8.567
59,115,599,257,58,284,1.933,9.467,314,74,298,73,299,134,222,140,214,0.0,0,365.467,35.667,327.867,8.567,365.467,35.667,327.867,8.567
60,116,574,322,43,209,1.433,6.967,364,3,348,3,349,142,259,131,223,0.0,0,374.033,55.633,316.967,10.733,374.033,55.633,316.967,10.733
61,117,599,282,88,229,2.933,7.633,369,104,349,104,350,170,277,177,262,0.0,0,384.767,74.767,307.067,9.4,384.767,74.767,307.067,9.4
62,118,599,253,58,288,1.933,9.6,310,75,317,74,317,133,209,140,201,0.0,0,394.167,94.733,297.5,8.433,394.167,94.733,297.5,8.433
63,119,565,255,122,188,4.067,6.267,376,140,360,140,362,203,278,209,270,0.0,0,402.6,114.7,283.833,8.5,402.6,114.7,283.833,8.5
64,120,509,278,108,123,3.6,4.1,385,126,368,125,369,187,279,191,266,0.0,0,411.1,133.533,273.967,9.267,411.1,133.533,273.967,9.267
65,121,381,270,69,42,2.3,1.4,338,86,321,86,322,153,235,159,227,0.0,0,420.367,150.5,267.567,9.0,420.367,150.5,267.567,9.0
66,122,414,297,63,54,2.1,1.8,359,43,342,42,342,149,225,150,216,0.0,0,429.367,163.2,264.067,9.9,429.367,163.2,264.067,9.9
67,123,454,276,64,114,2.133,3.8,339,81,323,80,323,149,241,158,231,0.0,0,439.267,177.0,260.133,9.2,439.267,177.0,260.133,9.2
68,124,599,233,131,235,4.367,7.833,363,147,346,146,348,201,271,204,255,0.0,0,448.467,192.267,251.833,7.767,448.467,192.267,251.833,7.767
69,125,599,253,78,268,2.6,8.933,330,96,315,101,316,168,243,174,231,0.0,0,456.233,212.233,241.4,8.433,456.233,212.233,241.4,8.433
70,126,511,289,77,145,2.567,4.833,365,94,349,93,350,156,233,163,225,0.0,0,464.667,232.2,229.9,9.633,464.667,232.2,229.9,9.633
71,11,707,499,131,77,4.367,2.567,629,11,638,11,637,171,640,247,515,0.0,0,254.6,250.233,0.0,16.633,254.6,250.233,0.0,16.633
72,13,562,356,94,112,3.133,3.733,449,1,473,1,474,120,481,183,559,0.0,0,301.333,298.2,-0.0,11.867,301.333,298.2,-0.0,11.867
73,14,586,429,81,76,2.7,2.533,509,27,509,26,510,109,525,167,569,0.0,0,319.633,316.933,-0.0,14.3,319.633,316.933,-0.0,14.3
74,15,658,480,96,82,3.2,2.733,575,2,551,2,543,107,534,0,654,0.0,0,339.667,336.467,-0.0,16.0,339.667,336.467,-0.0,16.0
75,16,645,540,60,45,2.0,1.5,599,103,589,108,586,118,592,41,483,0.0,0,360.4,358.4,0.0,18.0,360.4,358.4,0.0,18.0
76,17,571,377,144,50,4.8,1.667,520,155,542,154,543,177,421,279,415,0.0,0,384.7,379.9,0.0,12.567,384.7,379.9,0.0,12.567
77,18,647,518,88,41,2.933,1.367,605,101,590,126,591,246,605,225,419,0.0,0,401.867,398.933,0.0,17.267,401.867,398.933,0.0,17.267
78,19,650,468,90,92,3.0,3.067,557,103,577,103,577,47,592,276,622,0.0,0,423.5,420.5,0.0,15.6,423.5,420.5,0.0,15.6
79,21,571,393,137,41,4.567,1.367,529,135,547,134,548,119,546,304,434,-0.0,0,470.567,466.0,-0.0,13.1,470.567,466.0,-0.0,13.1
80,22,520,387,86,47,2.867,1.567,472,3,451,3,452,93,439,268,385,-0.0,0,487.9,485.033,0.0,12.9,487.9,485.033,0.0,12.9
81,24,701,497,117,87,3.9,2.9,613,132,628,132,628,185,637,242,488,0.0,0,523.933,520.033,-0.0,16.567,523.933,520.033,-0.0,16.567
82,25,633,501,99,33,3.3,1.1,599,110,595,109,596,115,600,242,480,-0.0,0,546.7,543.4,-0.0,16.7,546.7,543.4,-0.0,16.7
83,26,601,387,143,71,4.767,2.367,529,101,529,100,531,110,544,276,416,0.0,0,569.267,564.5,-0.0,12.9,569.267,564.5,-0.0,12.9
84,68,457,331,94,32,3.133,1.067,424,3,420,3,421,138,331,208,320,0.0,0,3.133,0.0,0.0,11.033,3.133,0.0,0.0,11.033
85,69,518,369,105,44,3.5,1.467,473,117,467,117,469,181,404,224,483,0.0,0,18.733,15.233,0.0,12.3,18.733,15.233,0.0,12.3
