cur,raw,raw_frames,cur_frames,start_cut,end_cut,start_s,end_s,kept_end_frame_raw,arm_onset,arm_end,speed_onset,speed_end,jaw_onset,jaw_end,load_onset,load_end,cur_t0,cur_frame0,vid_wrist_cur_from,vid_wrist_raw_from,vid_wrist_shift_vs_cut,vid_wrist_cur_len,vid_top_cur_from,vid_top_raw_from,vid_top_shift_vs_cut,vid_top_cur_len,sc_raw_rows,sc_cur_rows,sc_raw_span_s,sc_cur_span_s,sc_start_cut_s,sc_end_cut_s,align_shift_s,sc_cur_lead_s,sc_cur_tail_s
19,60,414,306,73,35,2.433,1.167,378,87,372,87,373,122,273,173,258,0.0,0,208.067,205.633,0.0,10.2,487.633,485.2,0.0,10.2,3926,927,43.27,10.19,2.43,30.64,2.433,-0.0,0.02
20,61,418,298,89,31,2.967,1.033,386,96,383,95,385,192,282,204,274,0.0,0,222.4,219.433,0.0,9.933,501.967,499.0,-0.0,9.933,3202,903,35.28,9.92,2.96,22.4,2.967,-0.0,0.02
21,11,707,499,131,77,4.367,2.567,629,11,638,11,637,171,640,247,515,0.0,0,254.6,250.233,0.0,16.633,254.6,250.233,0.0,16.633,5700,1512,62.72,16.62,4.37,41.73,4.367,-0.01,0.03
22,13,562,356,94,112,3.133,3.733,449,1,473,1,474,120,481,183,559,0.0,0,301.333,298.2,-0.0,11.867,301.333,298.2,-0.0,11.867,4848,1078,53.37,11.85,3.14,38.39,3.133,-0.01,0.02
23,14,586,429,81,76,2.7,2.533,509,27,509,26,510,109,525,167,569,0.0,0,319.633,316.933,-0.0,14.3,319.633,316.933,-0.0,14.3,5039,1300,55.47,14.29,2.69,38.49,2.7,-0.0,0.03
24,15,658,480,96,82,3.2,2.733,575,2,551,2,543,107,534,0,654,0.0,0,339.667,336.467,-0.0,16.0,339.667,336.467,-0.0,16.0,5361,1454,59.01,15.99,3.2,39.83,3.2,-0.0,0.02
25,16,645,540,60,45,2.0,1.5,599,103,589,108,586,118,592,41,483,0.0,0,360.4,358.4,0.0,18.0,360.4,358.4,0.0,18.0,5460,1637,60.13,18.0,1.99,40.14,2.0,-0.0,0.03
26,17,571,377,144,50,4.8,1.667,520,155,542,154,543,177,421,279,415,0.0,0,384.7,379.9,0.0,12.567,384.7,379.9,0.0,12.567,4748,1142,52.23,12.55,4.8,34.88,4.8,-0.01,0.03
27,18,647,518,88,41,2.933,1.367,605,101,590,126,591,246,605,225,419,0.0,0,401.867,398.933,0.0,17.267,401.867,398.933,0.0,17.267,5314,1569,58.48,17.25,2.94,38.29,2.933,-0.01,0.03
28,19,650,468,90,92,3.0,3.067,557,103,577,103,577,47,592,276,622,0.0,0,423.5,420.5,0.0,15.6,423.5,420.5,0.0,15.6,5356,1418,58.94,15.59,3.0,40.35,3.0,-0.0,0.02
29,21,571,393,137,41,4.567,1.367,529,135,547,134,548,119,546,304,434,-0.0,0,470.567,466.0,-0.0,13.1,470.567,466.0,-0.0,13.1,4023,1191,44.28,13.09,4.57,26.63,4.567,-0.01,0.03
30,22,520,387,86,47,2.867,1.567,472,3,451,3,452,93,439,268,385,-0.0,0,487.9,485.033,0.0,12.9,487.9,485.033,0.0,12.9,4591,1173,50.5,12.89,2.86,34.75,2.867,-0.0,0.03
31,24,701,497,117,87,3.9,2.9,613,132,628,132,628,185,637,242,488,0.0,0,523.933,520.033,-0.0,16.567,523.933,520.033,-0.0,16.567,5617,1506,61.81,16.56,3.91,41.35,3.9,-0.01,0.03
32,25,633,501,99,33,3.3,1.1,599,110,595,109,596,115,600,242,480,-0.0,0,546.7,543.4,-0.0,16.7,546.7,543.4,-0.0,16.7,5170,1518,56.9,16.69,3.29,36.92,3.3,-0.0,0.03
33,26,601,387,143,71,4.767,2.367,529,101,529,100,531,110,544,276,416,0.0,0,569.267,564.5,-0.0,12.9,569.267,564.5,-0.0,12.9,4189,1173,46.12,12.9,4.76,28.46,4.767,-0.0,0.03
34,68,457,331,94,32,3.133,1.067,424,3,420,3,421,138,331,208,320,0.0,0,3.133,0.0,0.0,11.033,3.133,0.0,0.0,11.033,4369,1003,48.08,11.03,3.14,33.92,3.133,-0.0,0.03
35,69,518,369,105,44,3.5,1.467,473,117,467,117,469,181,404,224,483,0.0,0,18.733,15.233,0.0,12.3,18.733,15.233,0.0,12.3,4880,1118,53.73,12.29,3.49,37.95,3.5,-0.0,0.02
36,70,545,374,105,66,3.5,2.2,478,118,474,117,474,115,369,4,504,0.0,0,36.0,32.5,0.0,12.467,36.0,32.5,0.0,12.467,5142,1132,56.63,12.45,3.5,40.68,3.5,-0.01,0.02
37,71,578,441,105,32,3.5,1.067,545,122,542,123,545,171,437,263,520,0.0,0,54.167,50.667,0.0,14.7,54.167,50.667,0.0,14.7,5362,1335,59.05,14.68,3.5,40.87,3.5,-0.01,0.02
38,72,456,310,107,39,3.567,1.3,416,118,415,118,416,188,309,104,356,-0.0,0,73.5,69.933,-0.0,10.333,73.5,69.933,-0.0,10.333,4644,940,51.15,10.33,3.57,37.25,3.567,-0.0,0.03
39,73,499,360,90,49,3.0,1.633,449,104,443,103,444,106,320,20,458,0.0,0,88.133,85.133,0.0,12.0,88.133,85.133,0.0,12.0,4808,1090,52.95,11.98,3.0,37.97,3.0,-0.01,0.02
