ep,finger,t,label,conf,jaw,cls,fn_hold_N,fn_near_N,fn_last_N,fn_near_ratio,fn_slope_near_rel,unload_80to20_s,fn_post_N,active_hold,active_last,active_slope_near,copy_travel_near_mm,copx_travel_near_mm,cop_speed_near_mm_s,copy_hold_mm,fs_hold_N,fs_near_N,mu_hold,mu_near,mu_max_near,mu_slope_near,shear_swing_deg,tau_max_near,tau_hold,hf_max_near,hf_hold,partner_fn_near_N,partner_fn_post_N,partner_slope_near_rel,partner_mu_near
10,0,8.397904128,release,high,12.7,deliberate,3.904444444444446,3.7195121951219527,3.0000000000000004,0.9526354512264531,-0.5397272270143678,0.07945369599999985,0.0,19.022222222222222,14.875,-9.413096873538857,-1.9733692307692308,1.3154965811965815,-1.3818415958930927,1.952603157529012,4.392704930575131,4.234035249903777,1.1250915606978136,1.1433482413376241,1.3170777796132696,0.19107842419966153,3.2539610459141386,4.437485128205129,4.4045982825377,31.31304312759676,1.0009121742448428,4.634146341463415,0.0,-0.7815609854531534,1.1391155413630467
11,1,6.92060288,release,high,24.5,deliberate,2.471111111111112,2.4634146341463423,2.4000000000000004,0.9968854184944728,0.0625735990478562,0.020779775999999472,0.0,12.355555555555556,12.0,0.7731315793468452,0.0,0.0,0.10414865115732796,0.19038570207570207,2.4947311318493575,2.4893536453484986,1.0097274825007607,1.0106360775857663,1.019803902718557,-0.0007881902827162573,0.22627835472053448,0.7464879999999987,0.5336539698819701,25.497989502379014,4.649623568024161,2.2,0.0,-0.5260773064765127,1.2405842643847511
11,0,6.954380288,release,high,24.5,deliberate,2.2177777777777785,2.2000000000000006,2.0941176470588236,0.9919839679358717,-0.3493469827615711,0.03377740800000062,0.0,11.088888888888889,10.470588235294118,-3.8738698755116436,0.0,0.0,-0.12129879094895873,0.20602263888888891,2.718577388114314,2.711144241860937,1.2339401725742825,1.2405842643847511,1.4142135623730951,0.35749981817866683,3.5263333033180686,1.552245714285712,0.614861833333333,32.010554318189214,9.509791317005392,2.439024390243903,0.0,-0.11467618321693787,1.0124370356324883
12,1,9.203516672,release,high,30.0,deliberate,6.382608695652171,6.34,6.0625,0.9933242506811993,-0.09775105517966833,0.02718873599999938,0.0,31.91304347826087,30.3125,-3.1195336739946296,0.0,0.0,-0.32474961516519496,4.454270326086957,7.42377517206716,7.0604257453137595,1.1632202228922497,1.1140074556238464,1.2612772544131605,0.09078744152948155,0.49299349459613495,4.484148750000002,1.487801411231885,124.87498556094042,20.885632418052705,3.8000000000000007,0.16363636363636366,-1.4111905175252332e-16,1.0237589920577816
12,0,9.286090496,release,high,30.4,deliberate,3.8444444444444463,3.7707317073170743,3.4823529411764715,0.9808261666431691,-0.09313934189424383,0.04379852799999995,0.0,19.133333333333333,17.41176470588235,-1.790345127522692,-0.5558993808049533,0.35228637770897797,-0.49762587390851354,1.7942173478996628,3.898666891165223,3.8609620596282195,1.0142607869854987,1.0237581436230387,1.0340464581257105,-0.009493548832829933,1.7581130967523677,5.153176842105263,4.540440267403552,46.35918261426165,4.335427633267812,5.546341463414635,0.0,-1.4862065516015894,1.1355044965842815
13,1,7.195611904,release,high,13.6,deliberate,1.56,1.5463414634146342,1.2352941176470589,0.9912445278298937,-0.7027485283293946,0.0,0.0,7.8,6.176470588235294,-5.48143852096927,-3.0142723076923073,0.4212153846153859,-1.9371120967916151,2.4382241988353526,2.1167672976699703,2.110519003243027,1.3658412822774963,1.3545489396741557,1.4142135623730951,-0.005416147164665256,0.2881955426724403,1.8210430769230763,0.5580083623931624,169.58813905369897,46.023373925860064,2.15609756097561,0.034782608695652174,0.014401359023910326,1.0125504999545392
13,0,7.261165312,release,high,13.6,deliberate,2.2266666666666675,2.1463414634146343,2.0941176470588236,0.9639258069227395,0.04889893203830534,0.10909414399999928,0.0,11.133333333333333,10.470588235294118,0.5444081100264698,-0.39604747474747465,-1.6351242424242427,-0.3469917410293762,0.3337326530259863,2.2593815160114517,2.169139568284579,1.0140458952971076,1.0126797349123686,1.228903609577518,0.04652869578354133,9.68809676780728,2.1902981818181813,1.608867940257273,39.46249533351941,9.036955342268893,1.229268292682927,0.0,-0.7828779079346802,1.3464950085735934
14,1,7.214148096,release,high,35.3,deliberate,5.682222222222222,5.553658536585367,4.788235294117648,0.9773744002594505,-0.3414460051565651,0.04305228800000016,0.0,26.91111111111111,23.058823529411764,-7.943483126813568,-2.3084394062078264,-2.5579541160593786,-0.9929070547689816,3.5667799612668816,6.597502995662174,6.536911104368217,1.161216568028413,1.1789160262591654,1.4142135623730951,-0.08941495191285155,0.2170048410451102,13.82144608695652,7.644773592642635,66.9732079321927,21.207320612402377,2.1634146341463416,0.0,-0.12339869648563924,1.308196074326965
14,0,7.23669504,release,high,35.3,deliberate,2.2,2.1439024390243904,1.9823529411764707,0.9745011086474501,-0.21565771086075577,0.055075839999999765,0.0,10.0,9.529411764705882,-0.6352074001560002,-0.08824431818181822,1.146831818181819,-0.20103377869164316,0.24798181818181825,2.8284271247461894,2.814629919259623,1.2856486930664501,1.3144675313663134,1.4142135623730951,0.21823184148105856,0.0,0.3553127272727268,0.3553127272727268,32.93620047768857,1.9402479619447488e-14,5.402439024390246,0.0,-0.6011154136364443,1.1893516015566923
15,1,7.756694528,release,high,34.5,deliberate,8.659999999999998,8.309756097560975,7.0588235294117645,0.9595561313580804,-0.3979140556281789,0.08772710399999983,0.0,35.53333333333333,31.764705882352942,-4.685126770043209,-0.7080111657303387,0.5038412921348314,-0.620059820976344,5.154536637141077,5.911489091560365,5.853274784713258,0.6832427846174,0.7119789701296092,1.0140612962242472,0.46207640278946294,5.045032576065779,11.58968913580247,4.462508831647582,90.8053486417819,38.67505474160824,3.5951219512195123,0.7391304347826086,0.6209873801751434,0.6304048022945697
